Source,Target,weight,event,site,date,white,black,whiteElo,blackElo,result
Hikaru Nakamura,Levon Aronian,1,SportAccord Blindfold Men 2012,Beijing CHN,2012.12.18,Hikaru Nakamura,Levon Aronian,2760,2815,1/2-1/2
Hikaru Nakamura,Magnus Carlsen,1,chess.com Blitz Final 5m+2spm 2016,chess.com INT,2016.10.27,Magnus Carlsen,Hikaru Nakamura,2853,2787,1/2-1/2
Hikaru Nakamura,Shakhriyar Mamedyarov,1,GCT Blitz Paris 2017,Paris FRA,2017.06.24,Hikaru Nakamura,Shakhriyar Mamedyarov,2785,2800,1-0
Hikaru Nakamura,Alexey Sarana,1,World Blitz 2018,St Petersburg RUS,2018.12.29,Hikaru Nakamura,Alexey Sarana,2746,2618,1/2-1/2
Hikaru Nakamura,Maxime Vachier-Lagrave,1,chess.com Speed 1m+1spm 2018,chess.com INT,2018.10.11,Maxime Vachier-Lagrave,Hikaru Nakamura,2779,2777,0-1
Hikaru Nakamura,Wesley So,1,Millionaire TB Final 2015,"Las Vegas, NV USA",2015.10.11,Hikaru Nakamura,Wesley So,2816,2760,1/2-1/2
Hikaru Nakamura,Fabiano Caruana,1,GCT Rapid Paris 2016,Paris FRA,2016.06.10,Fabiano Caruana,Hikaru Nakamura,2804,2787,0-1
Hikaru Nakamura,Peter Svidler,1,Zurich Korchnoi CC Blitz,Zurich SUI,2017.04.17,Peter Svidler,Hikaru Nakamura,2747,2793,1/2-1/2
Hikaru Nakamura,Boris Gelfand,1,76. Tata Steel Masters,Wijk aan Zee NED,2014.01.13,Hikaru Nakamura,Boris Gelfand,2789,2777,1/2-1/2
Hikaru Nakamura,Viswanathan Anand,1,9. London Classic 2017,London ENG,2017.12.01,Hikaru Nakamura,Viswanathan Anand,2781,2782,1/2-1/2
Hikaru Nakamura,Sergey Karjakin,1,11. Tal Mem Rapid 2018,Moscow RUS,2018.03.04,Hikaru Nakamura,Sergey Karjakin,2787,2763,1/2-1/2
Hikaru Nakamura,Veselin Topalov,1,Riga FIDE Grand Prix 2019,Riga LAT,2019.07.14,Hikaru Nakamura,Veselin Topalov,2754,2740,1/2-1/2
Hikaru Nakamura,David Navara,1,TCh-ESP CECLUB Honor,Sestao ESP,2010.08.28,Hikaru Nakamura,David Navara,2729,2731,1-0
Hikaru Nakamura,Dmitry Andreikin,1,Tashkent FIDE GP 2014,Tashkent UZB,2014.10.22,Dmitry Andreikin,Hikaru Nakamura,2722,2764,1/2-1/2
Hikaru Nakamura,Vladimir Kramnik,1,40. Olympiad Open,Istanbul TUR,2012.09.06,Hikaru Nakamura,Vladimir Kramnik,2778,2797,1-0
Hikaru Nakamura,Baadur Jobava,1,World Blitz 2018,St Petersburg RUS,2018.12.29,Hikaru Nakamura,Baadur Jobava,2746,2627,1/2-1/2
Hikaru Nakamura,Ruslan Ponomariov,1,6. World Blitz,Moscow RUS,2010.11.18,Hikaru Nakamura,Ruslan Ponomariov,2741,2744,1-0
Hikaru Nakamura,Alexei Shirov,1,5. Zurich CC 2016,Zurich SUI,2016.02.13,Alexei Shirov,Hikaru Nakamura,2684,2787,0-1
Hikaru Nakamura,Yu Yangyi,1,Gibraltar Masters TB,Caleta ENG,2017.02.02,Yu Yangyi,Hikaru Nakamura,2738,2785,0-1
Hikaru Nakamura,Evgeny Tomashevsky,1,7. Mikhail Tal Memorial,Moscow RUS,2012.06.10,Hikaru Nakamura,Evgeny Tomashevsky,2775,2738,1/2-1/2
Hikaru Nakamura,Jan-Krzysztof Duda,1,Champions Showdown Blitz,Saint Louis USA,2019.02.23,Hikaru Nakamura,Jan-Krzysztof Duda,2749,2731,1-0
Hikaru Nakamura,Bu Xiangzhi,1,Trophee CCAS GpA,Cap d'Agde FRA,2010.10.26,Bu Xiangzhi,Hikaru Nakamura,2695,2733,1/2-1/2
Hikaru Nakamura,Alexander Grischuk,1,Baku FIDE Grand Prix 2014,Baku AZE,2014.10.05,Alexander Grischuk,Hikaru Nakamura,2797,2764,1/2-1/2
Hikaru Nakamura,Daniil Dubov,1,GCT Blitz Paris 2019,Paris FRA,2019.07.31,Daniil Dubov,Hikaru Nakamura,2700,2754,0-1
Hikaru Nakamura,Anton Korobov,1,FIDE World Cup 2013,Tromso NOR,2013.08.20,Hikaru Nakamura,Anton Korobov,2772,2720,1/2-1/2
Hikaru Nakamura,Garry Kasparov,1,Ultimate Blitz Challenge,Saint Louis USA,2016.04.29,Garry Kasparov,Hikaru Nakamura,2812,2787,1/2-1/2
Hikaru Nakamura,Peter Leko,1,1. FIDE GP 2012,London ENG,2012.09.23,Hikaru Nakamura,Peter Leko,2783,2737,1/2-1/2
Hikaru Nakamura,Anish Giri,1,GCT Rapid Paris 2016,Paris FRA,2016.06.09,Anish Giri,Hikaru Nakamura,2782,2787,1/2-1/2
Hikaru Nakamura,Jeffery Xiong,1,PRO League Group Stage,chess.com INT,2018.02.07,Hikaru Nakamura,Jeffery Xiong,2781,2634,1-0
Hikaru Nakamura,Samuel Sevian,1,USA Ch 2015,Saint Louis USA,2015.04.08,Samuel Sevian,Hikaru Nakamura,2531,2798,1/2-1/2
Hikaru Nakamura,Wang Hao,1,FIDE GP,Elancourt FRA,2013.09.25,Wang Hao,Hikaru Nakamura,2736,2772,1/2-1/2
Hikaru Nakamura,Vladislav Artemiev,1,11. Tal Mem Blitz 2018,Moscow RUS,2018.03.05,Hikaru Nakamura,Vladislav Artemiev,2787,2697,1/2-1/2
Hikaru Nakamura,Adhiban Baskaran,1,PRO League Group Stage,chess.com INT,2019.02.20,Adhiban Baskaran,Hikaru Nakamura,2689,2749,0-1
Hikaru Nakamura,Arkadij Naiditsch,1,40. Olympiad Open,Istanbul TUR,2012.09.03,Arkadij Naiditsch,Hikaru Nakamura,2712,2778,1/2-1/2
Hikaru Nakamura,Ian Nepomniachtchi,1,Saint Louis Blitz 2017,Saint Louis USA,2017.08.17,Hikaru Nakamura,Ian Nepomniachtchi,2792,2751,1/2-1/2
Hikaru Nakamura,Viktor Bologan,1,It,Pamplona ESP,2003.12.22,Viktor Bologan,Hikaru Nakamura,2673,2565,1/2-1/2
Hikaru Nakamura,Ivan Sokolov,1,It A,Stepanakert ARM,2005.10.06,Ivan Sokolov,Hikaru Nakamura,2696,2662,1/2-1/2
Hikaru Nakamura,Laurent Fressinet,1,SportAccord Blitz Men 2012,Beijing CHN,2012.12.17,Hikaru Nakamura,Laurent Fressinet,2760,2700,1-0
Hikaru Nakamura,Alexander Morozevich,1,8. Tal Mem Blitz,Moscow RUS,2013.06.12,Hikaru Nakamura,Alexander Morozevich,2784,2760,1-0
Hikaru Nakamura,Gata Kamsky,1,Millionaire TB B 2015,"Las Vegas, NV USA",2015.10.11,Hikaru Nakamura,Gata Kamsky,2816,2680,1/2-1/2
Hikaru Nakamura,Krishnan Sasikiran,1,40. Olympiad Open,Istanbul TUR,2012.08.31,Hikaru Nakamura,Krishnan Sasikiran,2778,2707,1-0
Hikaru Nakamura,Pavel Eljanov,1,Palma De Mallorca GP 2017,Palma de Majorca ESP,2017.11.16,Pavel Eljanov,Hikaru Nakamura,2707,2780,1/2-1/2
Hikaru Nakamura,Maxim Rodshtein,1,30. ECC Open 2014,Bilbao ESP,2014.09.17,Maxim Rodshtein,Hikaru Nakamura,2678,2782,0-1
Hikaru Nakamura,Dmitry Jakovenko,1,Palma De Mallorca GP 2017,Palma de Majorca ESP,2017.11.17,Hikaru Nakamura,Dmitry Jakovenko,2780,2721,1/2-1/2
Hikaru Nakamura,Zahar Efimenko,1,Kasparov Cadet GP,Internet INT,2000.01.11,Hikaru Nakamura,Zahar Efimenko,2204,2332,1/2-1/2
Hikaru Nakamura,Ding Liren,1,SportAccord Blindfold Men 2012,Beijing CHN,2012.12.19,Hikaru Nakamura,Ding Liren,2760,2702,1/2-1/2
Hikaru Nakamura,Wei Yi,1,9. Masters Final 2016,Bilbao ESP,2016.07.15,Hikaru Nakamura,Wei Yi,2787,2696,1/2-1/2
Hikaru Nakamura,Evgeny Alekseev,1,Open,Santo Domingo DOM,2003.12.03,Evgeny Alekseev,Hikaru Nakamura,2613,2565,1/2-1/2
Hikaru Nakamura,Wang Yue,1,2. China-USA Summit,Shanghai CHN,2002.07.15,Hikaru Nakamura,Wang Yue,2494,2455,1/2-1/2
Hikaru Nakamura,Gabriel Sargissian,1,World Rapid 2018,St Petersburg RUS,2018.12.28,Hikaru Nakamura,Gabriel Sargissian,2746,2689,1-0
Hikaru Nakamura,Rustam Kasimdzhanov,1,Baku FIDE Grand Prix 2014,Baku AZE,2014.10.12,Hikaru Nakamura,Rustam Kasimdzhanov,2764,2706,1-0
Hikaru Nakamura,Ivan Cheparinov,1,Young Masters,Cuernavaca MEX,2006.02.11,Hikaru Nakamura,Ivan Cheparinov,2644,2625,1-0
Hikaru Nakamura,Vugar Gashimov,1,20. Amber Rapid,Monaco MNC,2011.03.15,Vugar Gashimov,Hikaru Nakamura,2746,2774,0-1
Hikaru Nakamura,Ni Hua,1,Chess Classic,London ENG,2009.12.08,Hikaru Nakamura,Ni Hua,2715,2665,1/2-1/2
Hikaru Nakamura,Teimour Radjabov,1,Moscow FIDE Grand Prix,Moscow RUS,2019.05.17,Teimour Radjabov,Hikaru Nakamura,2759,2761,1/2-1/2
Hikaru Nakamura,Emil Sutovsky,1,TCh-ITA 2012,Arvier ITA,2012.04.28,Hikaru Nakamura,Emil Sutovsky,2771,2700,1/2-1/2
Hikaru Nakamura,Nikita Vitiugov,1,54. Reggio Emilia,Reggio Emilia ITA,2012.01.02,Hikaru Nakamura,Nikita Vitiugov,2758,2729,1-0
Hikaru Nakamura,Alexander Onischuk,1,USA Ch 2015,Saint Louis USA,2015.04.12,Hikaru Nakamura,Alexander Onischuk,2798,2665,1-0
Hikaru Nakamura,Romain Edouard,1,Geneva Masters GpB 2013,Geneva SUI,2013.06.26,Romain Edouard,Hikaru Nakamura,2666,2784,1/2-1/2
Hikaru Nakamura,Boris Grachev,1,6. World Blitz,Moscow RUS,2010.11.18,Boris Grachev,Hikaru Nakamura,2654,2741,0-1
Hikaru Nakamura,Anatoly Karpov,1,City of Culture GM,Donostia ESP,2009.07.07,Hikaru Nakamura,Anatoly Karpov,2710,2644,1-0
Hikaru Nakamura,Alexander Riazantsev,1,FIDE World Blitz 2014,Dubai UAE,2014.06.20,Alexander Riazantsev,Hikaru Nakamura,2692,2775,0-1
Hikaru Nakamura,Maxim Matlakov,1,World Rapid 2016,Doha QAT,2016.12.28,Hikaru Nakamura,Maxim Matlakov,2779,2694,1-0
Hikaru Nakamura,Liviu-Dieter Nisipeanu,1,5. Kings Tournament,Medias ROU,2011.06.12,Hikaru Nakamura,Liviu-Dieter Nisipeanu,2774,2659,1-0
Hikaru Nakamura,Andrei Volokitin,1,GM,Biel SUI,2005.07.18,Andrei Volokitin,Hikaru Nakamura,2671,2660,1/2-1/2
Hikaru Nakamura,Bassem Amin,1,Cote d'Ivoire Blitz 2019,Abidjan CIV,2019.05.12,Bassem Amin,Hikaru Nakamura,2704,2761,1/2-1/2
Hikaru Nakamura,Michael Adams,1,Sharjah Grand Prix 2017,Sharjah UAE,2017.02.27,Hikaru Nakamura,Michael Adams,2785,2751,1/2-1/2
Hikaru Nakamura,Ernesto Inarkiev,1,Moscow Grand Prix 2017,Moscow RUS,2017.05.12,Ernesto Inarkiev,Hikaru Nakamura,2727,2786,1/2-1/2
Hikaru Nakamura,Vladislav Kovalev,1,World Rapid 2018,St Petersburg RUS,2018.12.27,Hikaru Nakamura,Vladislav Kovalev,2746,2683,1-0
Hikaru Nakamura,Markus Ragger,1,World Rapid 2018,St Petersburg RUS,2018.12.26,Markus Ragger,Hikaru Nakamura,2687,2746,0-1
Hikaru Nakamura,Alexander Moiseenko,1,World Rapid 2016,Doha QAT,2016.12.27,Alexander Moiseenko,Hikaru Nakamura,2657,2779,1/2-1/2
Hikaru Nakamura,Sergei Movsesian,1,PRO League Group Stage,chess.com INT,2019.01.30,Hikaru Nakamura,Sergei Movsesian,2749,2629,1/2-1/2
Hikaru Nakamura,Rauf Mamedov,1,6. World Blitz,Moscow RUS,2010.11.17,Rauf Mamedov,Hikaru Nakamura,2660,2741,1/2-1/2
Hikaru Nakamura,Ray Robson,1,USA Ch 2015,Saint Louis USA,2015.04.11,Ray Robson,Hikaru Nakamura,2656,2798,1/2-1/2
Hikaru Nakamura,Vadim Milov,1,16. North American Open,"Las Vegas, NV USA",2006.12.29,Hikaru Nakamura,Vadim Milov,2640,2657,1-0
Hikaru Nakamura,Evgeny Bareev,1,Corsica Masters,Bastia FRA,2007.10.30,Evgeny Bareev,Hikaru Nakamura,2653,2648,0-1
Hikaru Nakamura,Yuriy Kryvoruchko,1,FIDE World Rapid 2014,Dubai UAE,2014.06.18,Hikaru Nakamura,Yuriy Kryvoruchko,2775,2707,1-0
Hikaru Nakamura,Parham Maghsoodloo,1,World Blitz 2018,St Petersburg RUS,2018.12.29,Parham Maghsoodloo,Hikaru Nakamura,2688,2746,0-1
Hikaru Nakamura,Rameshbabu Praggnanandhaa,1,Tata Steel India Blitz,Kolkata IND,2018.11.14,Hikaru Nakamura,Rameshbabu Praggnanandhaa,2746,2530,1/2-1/2
Levon Aronian,Hikaru Nakamura,1,Zurich Chess Challenge 2014,Zurich SUI,2014.02.02,Levon Aronian,Hikaru Nakamura,2812,2789,1-0
Levon Aronian,Evgeny Najer,1,FIDE World Rapid 2014,Dubai UAE,2014.06.16,Levon Aronian,Evgeny Najer,2815,2653,1-0
Levon Aronian,Ian Nepomniachtchi,1,10th Sinquefield Cup,Saint Louis USA,2023.11.23,Levon Aronian,Ian Nepomniachtchi,2727,2771,1/2-1/2
Levon Aronian,Peter Svidler,1,Levitov Chess Week Rapid,Amsterdam NED,2023.09.26,Peter Svidler,Levon Aronian,2689,2742,0-1
Levon Aronian,Baadur Jobava,1,5. IECC,Antalya TUR,2004.05.24,Baadur Jobava,Levon Aronian,2616,2645,0-1
Levon Aronian,Teimour Radjabov,1,Meltwater Tour Final 2021,chess24.com INT,2021.09.29,Teimour Radjabov,Levon Aronian,2763,2782,1/2-1/2
Levon Aronian,Maxime Vachier-Lagrave,1,GCT Blitz YourNextMove,Leuven BEL,2018.06.15,Maxime Vachier-Lagrave,Levon Aronian,2789,2764,1/2-1/2
Levon Aronian,Viswanathan Anand,1,Levitov Chess Week Rapid,Amsterdam NED,2023.09.26,Levon Aronian,Viswanathan Anand,2742,2754,1/2-1/2
Levon Aronian,Yu Yangyi,1,Lindores Abbey Prelim,chess24.com INT,2020.05.20,Levon Aronian,Yu Yangyi,2773,2709,1-0
Levon Aronian,Magnus Carlsen,1,World Blitz 2023,Samarkand UZB,2023.12.30,Levon Aronian,Magnus Carlsen,2723,2830,1/2-1/2
Levon Aronian,Vladimir Kramnik,1,Levitov Chess Week Rapid,Amsterdam NED,2023.09.22,Levon Aronian,Vladimir Kramnik,2742,2753,1/2-1/2
Levon Aronian,Wang Yue,1,SportAccord Blitz 2014,Beijing CHN,2014.12.13,Levon Aronian,Wang Yue,2797,2720,1/2-1/2
Levon Aronian,Alexander Grischuk,1,Levitov Chess Week Rapid,Amsterdam NED,2023.09.22,Alexander Grischuk,Levon Aronian,2732,2742,0-1
Levon Aronian,Nikita Vitiugov,1,World Blitz 2018,St Petersburg RUS,2018.12.30,Levon Aronian,Nikita Vitiugov,2765,2719,1/2-1/2
Levon Aronian,Ruslan Ponomariov,1,FIDE Grand Swiss 2023,Douglas IOM,2023.10.28,Levon Aronian,Ruslan Ponomariov,2742,2641,1/2-1/2
Levon Aronian,Bu Xiangzhi,1,WJun,Athens GRE,2001.08.24,Levon Aronian,Bu Xiangzhi,2562,2553,1-0
Levon Aronian,Alexei Shirov,1,Schachbundesliga 2011-12,Berlin GER,2012.02.04,Levon Aronian,Alexei Shirov,2807,2713,1/2-1/2
Levon Aronian,Rauf Mamedov,1,World Rapid 2015,Berlin GER,2015.10.10,Levon Aronian,Rauf Mamedov,2784,2657,1/2-1/2
Levon Aronian,Gata Kamsky,1,Titled Tue 12th Sep Late,chess.com INT,2023.09.12,Gata Kamsky,Levon Aronian,2641,2742,1/2-1/2
Levon Aronian,Rustam Kasimdzhanov,1,Bundesliga 2000-1,Castrop-Rauxel GER,2001.01.28,Levon Aronian,Rustam Kasimdzhanov,2551,2690,1-0
Levon Aronian,Dmitry Andreikin,1,Titled Tue 5th Dec Early,chess.com INT,2023.12.05,Levon Aronian,Dmitry Andreikin,2723,2729,1/2-1/2
Levon Aronian,Alexander Motylev,1,Corus A,Wijk aan Zee NED,2007.01.16,Alexander Motylev,Levon Aronian,2647,2744,1/2-1/2
Levon Aronian,Wesley So,1,ch-USA 2023,Saint Louis USA,2023.10.11,Levon Aronian,Wesley So,2742,2753,1/2-1/2
Levon Aronian,Veselin Topalov,1,XXVII SuperGM,Linares ESP,2010.02.21,Veselin Topalov,Levon Aronian,2805,2781,1/2-1/2
Levon Aronian,Shakhriyar Mamedyarov,1,Levitov Chess Week Rapid,Amsterdam NED,2023.09.23,Levon Aronian,Shakhriyar Mamedyarov,2742,2734,1/2-1/2
Levon Aronian,Emil Sutovsky,1,21. Open,Reykjavik ISL,2004.03.16,Levon Aronian,Emil Sutovsky,2648,2666,1/2-1/2
Levon Aronian,Peter Leko,1,SportAccord Blitz 2014,Beijing CHN,2014.12.13,Levon Aronian,Peter Leko,2797,2723,1/2-1/2
Levon Aronian,Boris Gelfand,1,Levitov Chess Week Rapid,Amsterdam NED,2023.09.23,Boris Gelfand,Levon Aronian,2655,2742,0-1
Levon Aronian,Fabiano Caruana,1,10th Sinquefield Cup,Saint Louis USA,2023.11.22,Fabiano Caruana,Levon Aronian,2795,2727,1/2-1/2
Levon Aronian,Anish Giri,1,10th Sinquefield Cup,Saint Louis USA,2023.11.28,Levon Aronian,Anish Giri,2727,2752,1/2-1/2
Levon Aronian,Jan-Krzysztof Duda,1,Titled Tue 5th Dec Early,chess.com INT,2023.12.05,Jan-Krzysztof Duda,Levon Aronian,2732,2723,0-1
Levon Aronian,Bassem Amin,1,Julius Baer Rapid Div 2 L,chess.com INT,2023.09.02,Bassem Amin,Levon Aronian,2682,2742,1/2-1/2
Levon Aronian,Laurent Fressinet,1,AimChess Rapid Play-In,chess.com INT,2023.06.12,Levon Aronian,Laurent Fressinet,2742,2632,1-0
Levon Aronian,Anton Korobov,1,Titled Tue 15th Aug Early,chess.com INT,2023.08.15,Levon Aronian,Anton Korobov,2742,2663,1-0
Levon Aronian,Alireza Firouzja,1,Titled Tue 5th Dec Early,chess.com INT,2023.12.05,Alireza Firouzja,Levon Aronian,2763,2723,1/2-1/2
Levon Aronian,Liviu-Dieter Nisipeanu,1,43. Olympiad 2018,Batumi GEO,2018.10.05,Liviu-Dieter Nisipeanu,Levon Aronian,2661,2780,1/2-1/2
Levon Aronian,Ivan Sokolov,1,15. ETC,Goteborg SWE,2005.08.02,Levon Aronian,Ivan Sokolov,2724,2691,1/2-1/2
Levon Aronian,Wang Hao,1,Supreme Masters 2013,Sandnes NOR,2013.05.15,Wang Hao,Levon Aronian,2743,2813,1/2-1/2
Levon Aronian,Sergey Karjakin,1,NIC Classic Prelim 2021,chess24.com INT,2021.04.26,Levon Aronian,Sergey Karjakin,2781,2757,1/2-1/2
Levon Aronian,Michael Adams,1,4. Chess Classic,London ENG,2012.12.09,Levon Aronian,Michael Adams,2815,2710,1/2-1/2
Levon Aronian,Maxim Matlakov,1,World Rapid 2023,Samarkand UZB,2023.12.27,Levon Aronian,Maxim Matlakov,2723,2670,1/2-1/2
Levon Aronian,Arkadij Naiditsch,1,FIDE World Rapid 2014,Dubai UAE,2014.06.17,Arkadij Naiditsch,Levon Aronian,2705,2815,1/2-1/2
Levon Aronian,Ivan Cheparinov,1,World Rapid 2023,Samarkand UZB,2023.12.28,Ivan Cheparinov,Levon Aronian,2663,2723,1/2-1/2
Levon Aronian,Alexander Riazantsev,1,World Rapid 2023,Samarkand UZB,2023.12.26,Levon Aronian,Alexander Riazantsev,2723,2616,1-0
Levon Aronian,Evgeny Alekseev,1,Julius Baer Rapid Div 2 L,chess.com INT,2023.09.02,Evgeny Alekseev,Levon Aronian,2573,2742,1/2-1/2
Levon Aronian,Pavel Eljanov,1,Chennai GMs 2023,Chennai IND,2023.12.21,Pavel Eljanov,Levon Aronian,2691,2723,1/2-1/2
Levon Aronian,Dmitry Jakovenko,1,2. FIDE GP,Sochi RUS,2008.08.07,Levon Aronian,Dmitry Jakovenko,2737,2709,1/2-1/2
Levon Aronian,Ding Liren,1,85th Tata Steel Masters,Wijk aan Zee NED,2023.01.20,Ding Liren,Levon Aronian,2811,2735,1/2-1/2
Levon Aronian,Vasyl Ivanchuk,1,Julius Baer GenCup Prelim,chess24.com INT,2022.09.21,Levon Aronian,Vasyl Ivanchuk,2759,2678,1-0
Levon Aronian,Anatoly Karpov,1,World Blitz,Moscow RUS,2009.11.17,Anatoly Karpov,Levon Aronian,2619,2786,1/2-1/2
Levon Aronian,Vladislav Artemiev,1,Julius Baer Rapid Div 2 W,chess.com INT,2023.09.01,Vladislav Artemiev,Levon Aronian,2698,2742,1/2-1/2
Levon Aronian,Evgeny Tomashevsky,1,7. Tal Mem Blitz,Moscow RUS,2012.06.07,Levon Aronian,Evgeny Tomashevsky,2825,2738,1/2-1/2
Levon Aronian,Alexander Khalifman,1,TCh-RUS,Sochi RUS,2005.04.29,Levon Aronian,Alexander Khalifman,2693,2658,1/2-1/2
Levon Aronian,Sergei Movsesian,1,Titled Tue 5th Dec Early,chess.com INT,2023.12.05,Levon Aronian,Sergei Movsesian,2723,2607,1-0
Levon Aronian,Igor Lysy,1,FIDE World Cup 2013,Tromso NOR,2013.08.16,Levon Aronian,Igor Lysy,2813,2648,1-0
Levon Aronian,Vladimir Akopian,1,2. IECC,Ohrid MKD,2001.06.05,Levon Aronian,Vladimir Akopian,2528,2654,1/2-1/2
Levon Aronian,David Navara,1,Corus A,Wijk aan Zee NED,2007.01.13,David Navara,Levon Aronian,2719,2744,1/2-1/2
Levon Aronian,Viktor Bologan,1,38. Olympiad,Dresden GER,2008.11.14,Viktor Bologan,Levon Aronian,2682,2757,1/2-1/2
Levon Aronian,Andrei Volokitin,1,Bundesliga 2005-6,Neukoelln GER,2005.10.23,Levon Aronian,Andrei Volokitin,2724,2666,1/2-1/2
Levon Aronian,Alexander Morozevich,1,Amber Blindfold,Nice FRA,2008.03.25,Alexander Morozevich,Levon Aronian,2765,2739,0-1
Levon Aronian,Ernesto Inarkiev,1,Petrosian Memorial 2014,Moscow RUS,2014.11.11,Ernesto Inarkiev,Levon Aronian,2688,2797,0-1
Levon Aronian,Vugar Gashimov,1,20. Amber Blindfold,Monaco MNC,2011.03.17,Vugar Gashimov,Levon Aronian,2746,2808,0-1
Levon Aronian,Boris Grachev,1,6. World Blitz,Moscow RUS,2010.11.16,Boris Grachev,Levon Aronian,2654,2801,0-1
Levon Aronian,Alexander Onischuk,1,World Team Ch,Beer Sheba ISR,2005.11.04,Alexander Onischuk,Levon Aronian,2640,2724,1/2-1/2
Levon Aronian,Evgeny Bareev,1,World Blitz,Moscow RUS,2009.11.16,Levon Aronian,Evgeny Bareev,2786,2634,1/2-1/2
Levon Aronian,Gabriel Sargissian,1,Karen Asrian Memorial,Erevan ARM,2008.06.13,Gabriel Sargissian,Levon Aronian,2643,2763,1/2-1/2
Levon Aronian,Parham Maghsoodloo,1,Chennai GMs 2023,Chennai IND,2023.12.16,Levon Aronian,Parham Maghsoodloo,2723,2742,1/2-1/2
Levon Aronian,Garry Kasparov,1,Champ Showdown 9LX 2023,Saint Louis USA,2023.09.09,Levon Aronian,Garry Kasparov,2742,2812,1/2-1/2
Levon Aronian,Markus Ragger,1,Bundesliga 2018-19,Solingen GER,2019.04.06,Markus Ragger,Levon Aronian,2701,2765,1/2-1/2
Levon Aronian,Denis Khismatullin,1,World Rapid 2015,Berlin GER,2015.10.10,Denis Khismatullin,Levon Aronian,2651,2784,0-1
Levon Aronian,Alexander Moiseenko,1,6. EICC playoff,Warsaw POL,2005.07.02,Alexander Moiseenko,Levon Aronian,2665,2693,1/2-1/2
Levon Aronian,Sanan Sjugirov,1,Chennai GMs 2023,Chennai IND,2023.12.17,Sanan Sjugirov,Levon Aronian,2703,2723,1/2-1/2
Levon Aronian,Ferenc Berkes,1,Aeroflot Open,Moscow RUS,2005.02.19,Ferenc Berkes,Levon Aronian,2610,2684,1/2-1/2
Levon Aronian,Zahar Efimenko,1,World Rapid 2021,Warsaw POL,2021.12.27,Levon Aronian,Zahar Efimenko,2772,2597,1-0
Levon Aronian,Vadim Milov,1,6. EICC,Warsaw POL,2005.06.26,Vadim Milov,Levon Aronian,2653,2693,1/2-1/2
Levon Aronian,Zurab Azmaiparashvili,1,21. ECC,Saint Vincent ITA,2005.09.23,Zurab Azmaiparashvili,Levon Aronian,2672,2724,0-1
Levon Aronian,Pentala Harikrishna,1,Chennai GMs 2023,Chennai IND,2023.12.18,Levon Aronian,Pentala Harikrishna,2723,2696,1/2-1/2
Levon Aronian,Bogdan-Daniel Deac,1,Titled Tue 15th Aug Late,chess.com INT,2023.08.15,Levon Aronian,Bogdan-Daniel Deac,2742,2698,1/2-1/2
Levon Aronian,Samuel Sevian,1,ch-USA 2023,Saint Louis USA,2023.10.15,Samuel Sevian,Levon Aronian,2698,2742,1/2-1/2
Levon Aronian,Andrey Esipenko,1,WR Chess Masters 2023,Dusseldorf GER,2023.02.24,Andrey Esipenko,Levon Aronian,2675,2736,1/2-1/2
Levon Aronian,Daniil Dubov,1,Levitov Chess Week Rapid,Amsterdam NED,2023.09.22,Levon Aronian,Daniil Dubov,2742,2710,1/2-1/2
Levon Aronian,Alexander Areshchenko,1,ch-Schachbundesliga 2020,Karlsruhe GER,2020.09.19,Levon Aronian,Alexander Areshchenko,2773,2678,1/2-1/2
Levon Aronian,Adhiban Baskaran,1,Julius Baer GenCup Prelim,chess24.com INT,2022.09.19,Levon Aronian,Adhiban Baskaran,2759,2603,1-0
Levon Aronian,Vincent Keymer,1,Satty Zhuldyz Rapid 2023,Astana KAZ,2023.04.21,Levon Aronian,Vincent Keymer,2745,2700,1-0
Levon Aronian,Ni Hua,1,Aeroflot Open,Moscow RUS,2005.02.23,Ni Hua,Levon Aronian,2625,2684,1/2-1/2
Levon Aronian,Alexey Sarana,1,Chess.com RCC Wk18 Swiss,chess.com INT,2022.06.11,Alexey Sarana,Levon Aronian,2670,2775,1/2-1/2
Levon Aronian,Alexey Dreev,1,World Rapid 2023,Samarkand UZB,2023.12.26,Levon Aronian,Alexey Dreev,2723,2606,1-0
Levon Aronian,Rameshbabu Praggnanandhaa,1,WR Chess Masters 2023,Dusseldorf GER,2023.02.16,Levon Aronian,Rameshbabu Praggnanandhaa,2736,2690,1-0
Levon Aronian,Vladislav Kovalev,1,43. Olympiad 2018,Batumi GEO,2018.10.01,Vladislav Kovalev,Levon Aronian,2664,2780,1/2-1/2
Levon Aronian,Yuriy Kryvoruchko,1,FIDE Grand Swiss 2021,Riga LAT,2021.11.07,Yuriy Kryvoruchko,Levon Aronian,2686,2782,1/2-1/2
Levon Aronian,Nodirbek Abdusattorov,1,Aimchess Rapid Div 1 W,chess.com INT,2023.07.11,Levon Aronian,Nodirbek Abdusattorov,2742,2725,1/2-1/2
Levon Aronian,Wei Yi,1,FTX Road to Miami Prelim,chess24.com INT,2022.07.13,Levon Aronian,Wei Yi,2775,2727,1/2-1/2
Levon Aronian,Maxim Rodshtein,1,ChessKid Cup Play-In,chess.com INT,2023.05.01,Maxim Rodshtein,Levon Aronian,2606,2745,0-1
Levon Aronian,Krishnan Sasikiran,1,Premier,Hastings ENG,2001.01.04,Levon Aronian,Krishnan Sasikiran,2551,2573,1/2-1/2
